Lieu_ID,Lieu,Lieu_Proche_ID,Lieu_Proche,Distance
ChIJb0buX6l65kcRbLP_ow15n3E,Pavillon Bourdan,ChIJEzDVLzhw5kcRtP92N9YMEzA,Atelier Theâtre Frederic Jacquot,1.3344
ChIJA_2Bzflt5kcRi2ufRgozbaA,Au Royal Mad,ChIJZwtw-cxt5kcROroUAwd2Yjc,Clap Prod,1.3349
ChIJ6-J-HeVt5kcRlnGjJ2eZzlE,The Hood Paris,ChIJ0YZ8pABt5kcRusXBA2KP8uU,Géosmine,1.3357
ChIJrTutzQ5y5kcR6I6IZAfUZCQ,Hipotel Paris Bastille Saint-Antoine.,ChIJeegWVABy5kcRUjWmwhazQas,Café des Phares,1.3363
ChIJK-8eectx5kcRGo0q4C7DYVI,Courstheatreparis,ChIJyZWtQahx5kcRv2q-R1IGyPA,Théâtre Guignol St. Lambert,1.3363
ChIJCUrxiUVu5kcRMonVHhPdhOo,Theatroom,ChIJqapaWRNu5kcRQWy3-tMMmRk,CAFÉ POUR TOUS,1.3371
ChIJ36ayh_1t5kcRfJpvToy3rX8,Le Petit Oberkampf Hotel & Spa,ChIJo2cDJQRu5kcRItGIv97MxGo,ROJO,1.3377
ChIJifj118Jv5kcRZtG74DSUjKs,Private Bar,ChIJq6r6bsNv5kcRkBU2NzKYdqE,Compagnie 13,1.3379
ChIJCQ90WIdt5kcRfngAkwFGedQ,Bibliothèque Louise Michel,ChIJZ__duYZt5kcRzEJl9_-b__4,Le Magnolia Café,1.3388
ChIJJcgHyaxv5kcR33L7vxNxCNw,Hôtel PARIS LEGENDRE,ChIJ_zxGHLJv5kcRXwA_T19oKRU,Hôtel des Batignolles,1.3398
ChIJx6FcEABv5kcRM7gllJHxbfY,Statue de Lyon,ChIJvQF71qZv5kcROV3BjzD7JWE,Moonlight Films Distribution,1.3406
ChIJEaRmqSFv5kcRA4OAJ8XV7fw,Amarres,ChIJyybtSABv5kcRG9dGp9wojo8,Expo illusion,1.3409
ChIJpxKSBQNu5kcRhgxgcFtwxSU,Église Notre-Dame des Blancs Manteaux,ChIJ__-zAA5y5kcRqLoe0pGwlcw,Virtus,1.3411
ChIJ__-zAA5y5kcRqLoe0pGwlcw,Virtus,ChIJpxKSBQNu5kcRhgxgcFtwxSU,Église Notre-Dame des Blancs Manteaux,1.3411
